condition,class_id,class_name,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean,support_std
wo_kd,0,affected_individuals,0.11538402315841338,0.027507455095082217,0.7619047619047619,0.29738085706659045,0.198542325254654,0.048432210129984915,7.0,0.0
wo_kd,1,infrastructure_and_utility_damage,0.9242477771889538,0.03628975874918972,0.9102564102564102,0.04622501635210247,0.9159882323395401,0.008082796307344096,78.0,0.0
wo_kd,2,rescue_volunteering_or_donation_effort,0.8837028323530639,0.0052419023285561125,0.8835978835978836,0.02787209987527184,0.8834571758570505,0.012018500736160778,126.0,0.0
wo_kd,3,other_relevant_information,0.8839831199705569,0.015094996894954643,0.8936170212765958,0.01950032210619503,0.88855078621424,0.0022369202253606814,235.0,0.0
wo_kd,4,not_humanitarian,0.9492348642910743,0.01312659714311302,0.8716931216931217,0.025123571313786498,0.9085476076127543,0.008736962898312753,504.0,0.0
logits_kd,0,affected_individuals,0.5333333333333333,0.05773502691896256,0.7142857142857143,0.14285714285714288,0.6091503267973857,0.08815537411810388,7.0,0.0
logits_kd,1,infrastructure_and_utility_damage,0.8951792666327805,0.05000404251388746,0.9273504273504275,0.007401926528072099,0.9103593983807668,0.022871831785582764,78.0,0.0
logits_kd,2,rescue_volunteering_or_donation_effort,0.8869676451124976,0.009701578881594989,0.8915343915343916,0.016521158725921675,0.8891488138752323,0.00747826953978332,126.0,0.0
logits_kd,3,other_relevant_information,0.8872426565595658,0.011040723555870142,0.902127659574468,0.014740857936756424,0.8944998675730554,0.0015291346407424024,235.0,0.0
logits_kd,4,not_humanitarian,0.9313625565272825,0.010992272512818407,0.9126984126984127,0.013010790722821448,0.9218324823427678,0.0016152590055890073,504.0,0.0
